Date,Now,Open,High,Low,Volume
20130524,1128.22,1129,1131.95,1123.45,-0.0005
20130527,1122.6,1127.92,1130.1,1120.75,-0.005
20130528,1128.27,1122.45,1128.27,1119.6,0.0051
20130529,1132.45,1128.39,1134.03,1128.39,0.0037
20130530,1129.03,1132.58,1132.58,1126.55,-0.003
20130531,1131.26,1129.33,1131.3,1124.25,0.002
20130603,1120.09,1131.26,1131.26,1118.11,-0.0099
20130604,1123.36,1119.79,1123.54,1119.45,0.0029
20130605,1119,1123.42,1125.5,1115.25,-0.0039
20130606,1119.1,1118.75,1119.1,1118.55,0.0001
20130607,1117.62,1119.35,1119.35,1107.05,-0.0013
20130610,1128.14,1118.12,1128.6,1118.12,0.0094
20130611,1133.01,1127.64,1138.15,1127.64,0.0043
20130612,1128.26,1133.01,1135.35,1127.25,-0.0042
20130613,1130.25,1128.76,1137.35,1128.76,0.0018
20130614,1127.7,1129.8,1131.5,1125.3,-0.0023
20130617,1127.97,1127.85,1130.25,1126.49,0.0002
20130618,1134.69,1127.77,1135.03,1127.45,0.006
20130619,1130.95,1134.99,1136.25,1130.6,-0.0033
20130620,1146.1,1130.4,1146.65,1130.4,0.0134
20130621,1156.62,1155.12,1160.12,1151.72,0.0092
20130624,1162.01,1156.62,1163.51,1154.43,0.0047
20130625,1153.63,1162.04,1163.85,1153,-0.0072
20130626,1156,1153.68,1157.2,1150.2,0.0021
20130627,1148.14,1155.45,1155.45,1148.14,-0.0068
20130628,1142.4,1148.64,1148.64,1141.95,-0.005
20130701,1135.62,1141.9,1145.15,1131.35,-0.0059
20130702,1135,1135.62,1135.62,1129.55,-0.0005
20130703,1141.4,1135,1145.12,1135,0.0056
20130704,1139.84,1141.4,1142.65,1138.15,-0.0014
